,Gene,ENSEMBL_ID,Brum.HAP1.GTS,Brum.KBM7.GTS,Saba15.KBM7.cs,Saba15.KBM7.fdr,Saba15.K562.cs,Saba15.K562.fdr,Saba15.Jiyoye.cs,Saba15.Jiyoye.fdr,Saba15.Raji.cs,Saba15.Raji.fdr,Saba17.EOL1,Saba17.HEL,Saba17.MOLM13,Saba17.MonoMac1,Saba17.NB4.rep1,Saba17.NB4.rep2,Saba17.OCI.AML2,Saba17.OCI.AML3,Saba17.OCI.AML5,Saba17.P31.FUJ,Saba17.PL21,Saba17.SKM1,Saba17.TF1,Saba17.THP1,Weis16.csa.MW.pvalue,Weis16.csa.avg,Weis16.csi.MW.pvalue,Weis16.csi.avg,inactivating.mutation,deletion,down_reg_hema_cancer,CGC_tier,Tumour.Types.Somatic.,Tumour.Types.Germline.,Role.in.Cancer,Mutation.Types,GeneType,TSgene
197,GIGYF1,ENSG00000146830,0.49,0.142857143,-0.21,0.850874756,-0.364,0.633858015,-0.263,0.790985148,-0.265,0.929826066,-0.209,-0.791,-0.751,-0.393,0.243,0.563,-0.332,-0.168,-1.241,-0.143,-0.752,-0.6,-0.343,-0.826,0.215525005,-0.015998127,0.032561196,-0.033389971,,,,0,NA,NA,NA,NA,NA,0
198,GPC2,ENSG00000213420,0.48,0.5,-0.53,0.841326688,-2.116,0.266453713,-0.5,0.43611082,-0.586,0.564277141,-0.527,-0.667,-0.545,-0.773,-0.524,-1.094,-0.694,-0.418,-1.253,-1.037,-0.581,-0.694,-0.756,-0.576,0.249912022,-0.026777231,0.077421295,0.019522486,,,,0,NA,NA,NA,NA,NA,0
199,GPR22,ENSG00000172209,NA,NA,0.289,0.063786091,0.224,0.638467249,0.392,0.356227904,0.27,0.525560698,0.079,0.117,0.15,-0.086,0.366,0.394,0.145,0.318,0.071,0.296,-0.025,0.041,-0.146,-0.053,0.909318436,-0.007856579,0.637807351,-0.028911366,,,,0,NA,NA,NA,NA,NA,0
200,KIAA1549,ENSG00000122778,0.48,0.501965602,0.269,0.247601793,-0.12,0.833967171,0.108,0.959960659,0.375,0.369564966,-0.016,0.024,0.299,0.547,0.492,0.02,-0.021,-0.156,0.049,0.016,0.221,-0.327,-0.445,0.032,0.085822949,-0.021683442,0.152030903,-2.15E-05,,,,2,pilocytic astrocytoma,,fusion,T,NA,0
201,OCM2,ENSG00000135175,0.47,0.333333333,-0.218,0.681496514,-0.393,0.814445295,-0.141,0.772362915,-0.282,0.966220646,-0.272,0.019,0.172,0.132,-0.073,-0.211,-0.083,-0.085,-0.268,-0.268,-0.407,-0.293,-0.121,0.054,0.656048009,-0.007264352,0.852942526,0.00448832,,,,0,NA,NA,NA,NA,NA,0
202,USP42,ENSG00000106346,0.46,0.551912568,-0.11,0.865084684,-0.402,0.986332197,0.339,0.350972089,0.107,0.576963713,-0.813,-0.327,-0.41,-0.12,-0.398,-0.154,-0.468,0.261,-1.038,0.305,-0.228,-0.375,-0.132,-0.371,0.065372684,-0.017138972,0.281436016,0.013627048,,,,0,NA,NA,NA,NA,NA,0
203,ZNF425,ENSG00000204947,0.49,0.533007335,0.229,0.313844467,-0.148,0.492291933,0.194,0.851017062,0.171,0.646641726,-0.336,0.352,-0.02,-0.111,0.077,-0.059,-0.004,-0.416,0.136,-0.065,-0.182,0.052,-0.01,0.051,0.067668245,0.030746706,0.329909439,-0.033868175,,,,0,NA,NA,NA,NA,NA,0
204,FTSJ2,ENSG00000122687,0.43,0.426426426,-0.908,0.014250065,-0.278,0.290610838,-0.65,0.039020931,-0.144,0.737344122,-1.366,-0.341,0.469,-0.773,-0.224,-0.868,-0.948,-1.128,-1.167,-0.968,-0.342,-0.018,-1.752,-1.207,0.58443581,0.005146679,0.465238004,-0.022401984,,,,0,NA,NA,NA,NA,NA,0
205,PPP1R9A,ENSG00000158528,0.49,0.566371681,-0.359,0.62494481,-0.737,0.763496975,-0.245,0.92808564,-0.068,0.89311634,-0.653,-0.634,-0.486,-0.242,-0.379,-0.378,-0.179,-0.223,-0.531,-0.997,-0.001,-0.16,-0.835,-0.133,0.535312198,-0.01270165,0.117810808,0.03107137,,,,0,NA,NA,NA,NA,NA,0
206,ZNF107,ENSG00000196247,0.48,0.490272374,-0.109,0.66107459,0.011,0.082193777,-0.299,0.754398978,-0.114,0.617579102,-0.133,0.085,-0.145,-0.1,-0.02,-0.421,-0.022,0.056,-0.017,-0.006,0.026,0.247,-0.487,-0.355,0.220950985,-0.01014123,0.597807714,-0.005608716,,,,0,NA,NA,NA,NA,NA,0
207,C7orf60,ENSG00000164603,0.59,0.528611197,0.396,0.176609711,-0.087,0.932520839,0.213,0.741967323,0.476,0.095025319,0.22,0.028,-0.171,-0.039,-0.012,0.021,0.217,-0.291,0.175,-0.457,-0.213,0.12,-0.474,-0.247,0.085657688,-0.027744223,0.529412976,-0.028679594,,,,0,NA,NA,NA,NA,NA,0
208,BBS9,ENSG00000122507,0.51,0.524324324,-0.478,0.870468489,-0.202,0.7623533,-0.1,0.626349981,-0.021,0.713617441,-0.282,-0.076,-0.395,-0.268,0.092,-0.85,0.155,0.016,0.019,-0.225,-0.164,-0.154,-0.487,-0.194,0.099456595,-0.019701636,0.072565574,-0.022841229,,,,0,NA,NA,NA,NA,NA,0
209,DPY19L1,ENSG00000173852,0.54,0.545691906,0.277,0.119760665,0.078,0.558144813,0.23,0.154206662,0.27,0.142082452,0.003,-1.036,0.372,0.011,0.124,-0.276,0.158,0.005,0.31,0.464,-0.164,0.303,0.427,0.014,0.432124769,-0.005174623,0.371677533,-0.020867178,,,,0,NA,NA,NA,NA,NA,0
210,INTS1,ENSG00000164880,0.49,0.395833333,-1.331,0.004829577,-2.581,0.012971632,-1.815,0.014483794,-1.976,0.004371951,-1.733,-1.927,-3.436,-1.478,-1.161,-1.593,-1.794,-1.425,-2.975,-2.012,-0.774,-2.018,-2.907,-1.785,0.567233958,0.008150319,0.02385153,-0.091732109,,,,0,NA,NA,NA,NA,NA,0
211,KBTBD2,ENSG00000170852,0.4,0.507562278,0.309,0.204312809,0.054,0.440906247,0.127,0.525905085,0.087,0.56836206,0.342,0.056,0.314,0.087,-0.029,-0.156,0.269,0.026,0.328,0.508,0.224,-0.064,0.268,0.206,0.683523997,0.020430031,0.946016468,-0.005251706,,,,0,NA,NA,NA,NA,NA,0
212,LRRD1,,NA,NA,0.277,0.166931473,0.178,0.172740533,0.162,0.484182457,0.268,0.522887584,0.084,0.247,0.252,0.185,0.153,0.139,0.208,-0.23,-0.113,0.054,0.032,-0.061,0.023,0.277,0.824480116,0.005972753,0.949958267,-0.011631107,,,,0,NA,NA,NA,NA,NA,0
213,PRRT4,,NA,NA,-0.425,0.999390065,-1.333,0.280088353,0.644,0.075095991,-0.261,0.82152594,-0.118,-0.492,-0.838,-0.502,-0.482,-0.288,-0.123,-0.563,-0.332,-0.248,-1.104,-0.257,-0.903,-0.496,0.434017136,-0.007322104,0.139688441,-0.027757512,,,,0,NA,NA,NA,NA,NA,0
214,RBAK,,NA,NA,0.343,0.151918238,0.299,0.204841907,0.184,0.773114292,0.056,0.788755128,-0.383,0.542,-0.257,-0.309,-0.543,-0.043,-0.326,-0.511,-0.065,0.129,-0.815,-0.244,-0.122,-0.039,0.608772067,0.001798091,0.918928556,-0.005054246,,,,0,NA,NA,NA,NA,NA,0
215,TECPR1,ENSG00000205356,0.53,0.476190476,-0.087,0.886963017,-0.094,0.540707469,-0.141,0.904455496,-0.05,0.906254027,-0.399,0.183,0.026,-0.126,0.03,-0.912,-0.457,-0.693,-1.085,-0.727,-0.217,-0.057,-0.9,-0.65,0.589886019,-0.013781429,0.365627886,0.012612563,,,,0,NA,NA,NA,NA,NA,0
216,TMEM178B,,NA,NA,0.386,0.034868861,-0.167,0.910878577,0.52,0.070793604,0.378,0.204901708,0.151,0.54,0.228,0.079,-0.028,-0.183,0.16,0.258,0.197,0.046,-0.067,0.059,0.01,0.209,0.810813316,0.010850557,0.522760954,-0.036073059,,,,0,NA,NA,NA,NA,NA,0
217,ZAN,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,-0.3,-0.486,-0.199,0.031,0.111,-0.015,-0.318,-0.145,-0.081,-0.323,0.043,-0.286,0.24,0.835681148,0.00881659,0.066747732,0.040543395,,,,0,NA,NA,NA,NA,NA,0
218,ZNRF2,ENSG00000180233,0.5,0.504821958,0.1,0.328872161,0.144,0.690676393,0.102,0.743756874,-0.028,0.921760985,-0.166,-0.014,-0.108,-0.026,-0.057,-0.017,0.202,0.323,0.012,0.34,-0.253,-0.249,0.459,-0.773,0.369736417,-0.00100955,0.424471882,-0.004654499,,,,0,NA,NA,NA,NA,NA,0
219,FAM115C,ENSG00000170379,1,0.666666667,0.498,0.08846125,0.193,0.334872457,0.321,0.230527694,0.346,0.430878938,-0.297,0.074,0.099,-0.111,0.09,0.263,0.287,-0.204,0.404,0.006,0.083,0.221,0.52,0.194,0.005410958,-0.026602428,0.002587832,-0.040487824,,,,0,NA,NA,NA,NA,NA,0
220,NACAD,ENSG00000136274,0.62,1,-0.821,0.627128383,-1.321,0.482490085,-0.292,0.916695868,-0.412,0.631324733,-0.787,-0.559,-1.209,-0.476,-0.664,-0.63,-1.108,-0.921,-1.41,-0.86,-0.066,-0.516,-1.919,-0.861,0.987953611,0.002952427,0.029803585,-0.033361711,,,,0,NA,NA,NA,NA,NA,0
221,ZNF746,ENSG00000181220,0.61,0.639705882,-0.106,0.963893883,-0.451,0.463255039,-0.132,0.725679672,-0.305,0.959039832,-0.432,-0.474,0.157,0.166,-0.166,-0.32,-0.45,-0.052,-0.541,-0.138,-0.473,-0.147,-0.392,-0.756,0.068598794,0.027060976,0.002589928,-0.042609146,,,,0,NA,NA,NA,NA,NA,0
222,ZNF853,ENSG00000236609,0.63,0.61971831,0.38,0.012612496,0.139,0.398756107,0.357,0.318815319,0.144,0.464727056,-0.008,0.456,-0.129,0.175,0.097,0.162,0.091,-0.06,-0.358,0.241,0.137,0.008,0.409,0.143,0.529921244,-0.0008839,0.895388882,-0.004801338,,,,0,NA,NA,NA,NA,NA,0
223,GATSL1,ENSG00000183086,0.56,0.621212121,-0.435,0.717585715,-0.529,0.795683014,-0.409,0.744007964,-0.614,0.672099265,-1.08,-0.869,-0.789,-0.613,-0.534,-0.713,-1.085,-1.034,-0.604,-0.693,-0.918,-0.32,-0.624,-0.876,NA,NA,NA,NA,,,,0,NA,NA,NA,NA,NA,0
224,ARHGEF5,ENSG00000050327,0.25,0.6,-0.182,0.71428156,-0.345,0.79456515,-0.226,0.877874015,0.021,0.349296809,-0.285,0.382,-0.668,-0.007,-0.327,0.021,-0.145,0.14,0.174,-0.347,-1.131,0.012,-0.068,-0.27,0.088805797,-0.018941264,0.077031125,-0.007645112,,,,0,NA,NA,NA,NA,NA,0
225,C7orf57,ENSG00000164746,0.47,0.7,0.303,0.023294699,0.227,0.271855472,0.359,0.526170422,0.585,0.070507729,0.086,-0.001,0.1,0.285,0.536,0.301,-0.256,-0.199,0.216,-0.136,-0.241,0.219,0.05,0.138,0.319078495,0.008278754,0.898614842,-0.002821368,,,,0,NA,NA,NA,NA,NA,0
226,CNPY1,ENSG00000146910,0.51,0.666666667,0.334,0.041485612,0.443,0.08380985,0.085,0.763946289,0.297,0.599511252,0.409,0.771,0.492,0.254,0.193,0.251,0.446,0.017,0.432,0.28,0.086,0.296,0.718,0.072,0.838200338,0.006568678,0.565077062,0.009378592,,,,0,NA,NA,NA,NA,NA,0
227,COL1A2,ENSG00000164692,0.49,0.625,0.089,0.573249524,-0.003,0.078289453,0.325,0.562199238,-0.234,0.823498026,-0.666,-0.625,-0.532,-0.003,-0.98,0.234,-0.252,-0.538,-0.009,-0.711,-0.281,-0.162,-0.298,-0.642,0.142882924,-0.050925296,0.644895454,0.007740628,,,,0,NA,NA,NA,NA,NA,0
228,WEE2,ENSG00000214102,0.54,0.615384615,0.402,0.195587208,-0.324,0.660430139,0.325,0.445853757,0.216,0.412697101,0.026,0.105,0.302,0.357,-0.151,0.148,0.064,-0.144,-0.077,-0.23,-0.237,-0.051,-0.052,-0.135,0.137136079,-0.015278061,0.36485676,-0.016900619,,,,0,NA,NA,NA,NA,NA,0
229,ZNF804B,ENSG00000182348,0.5,0.607734807,0.158,0.388887335,0.163,0.266760845,-0.025,0.975177126,0.038,0.94552429,0.103,0.209,-0.037,0.138,0.128,0.223,0.427,0.072,0.152,-0.199,0.074,0.085,0.138,0.125,0.334552988,-0.007939963,0.985245685,0.016574174,,,,0,NA,NA,NA,NA,NA,0
230,C7orf25,ENSG00000136197,0.62,0.548717949,0.305,0.240106583,0.503,0.063695729,0.118,0.452486643,0.154,0.690194561,-0.022,0.058,0.003,0.2,0.179,-0.005,0.219,-1.019,0.329,0.241,0.224,0.173,0.31,0.271,0.080252081,-0.016370011,0.443115137,-0.034195521,,,,0,NA,NA,NA,NA,NA,0
231,C7orf43,ENSG00000146826,0.63,0.555555556,-0.16,0.775260372,-0.404,0.954678284,0.32,0.313321683,0.112,0.617467524,-0.051,0.189,-0.436,-0.02,-0.137,-0.097,-0.404,-0.438,-0.47,-0.511,-0.455,-0.158,-0.54,-0.536,0.164146807,0.007353215,0.394709505,-0.007755881,,,,0,NA,NA,NA,NA,NA,0
232,C7orf65,ENSG00000221845,0.61,0.5,-0.272,0.404273622,-0.117,0.992898523,-0.124,0.928475074,-0.561,0.31825937,-0.163,0.016,-0.12,-0.276,-0.214,-0.415,0.009,-0.365,-0.242,-0.412,-0.291,-0.097,0.039,-0.084,0.454262483,0.005536509,0.743522431,0.002004713,,,,0,NA,NA,NA,NA,NA,0
233,CLCN1,ENSG00000188037,0.56,0.47826087,-0.038,0.557291669,-0.537,0.841538706,0.095,0.572773758,-0.17,0.884784969,-0.098,0.123,-0.584,0.069,0.057,-0.31,-0.207,-0.135,-0.003,-0.458,-0.175,-0.086,-0.272,-0.052,0.793132918,0.027385767,0.00895157,-0.028938099,,,,0,NA,NA,NA,NA,NA,0
234,CLEC2L,ENSG00000236279,0.59,0.458333333,0.179,0.493648835,-0.341,0.795683014,0.239,0.63505875,0.078,0.367898434,-0.341,0.343,0.121,-0.276,0.086,-0.15,0.124,-0.073,-0.032,-0.298,-0.699,-0.428,-0.366,-0.088,0.402338101,-0.003529024,0.252069397,-0.111279556,,,,0,NA,NA,NA,NA,NA,0
235,SAMD9L,ENSG00000177409,0.58,0.519181586,-0.32,0.28969894,-0.649,0.991595241,-0.101,0.986827795,-0.163,0.544916997,-0.05,-0.651,-0.141,-0.102,-0.29,0.151,-0.184,-0.76,-0.278,-0.842,-0.347,-0.146,-0.618,-0.273,0.344634466,-0.01545109,0.358114727,-0.002073014,,,,0,NA,NA,NA,NA,protein-coding,1
236,ZNF282,ENSG00000170265,0.59,0.574468085,-0.172,0.969751896,-0.74,0.160744127,0.223,0.575310259,0.011,0.899386361,-0.502,0.153,-0.234,0.223,-0.08,-0.268,-0.176,-0.189,-0.203,-0.052,0.255,0.041,0.272,0.151,0.302840304,-0.020002723,0.447282064,0.020527429,,,,0,NA,NA,NA,NA,NA,0
237,ABCB4,ENSG00000005471,0.55,0.548387097,0.074,0.384315572,-0.441,0.579033512,0.013,0.897696761,-0.32,0.637035707,-0.002,-0.429,-0.078,0.368,-0.236,-0.441,0.034,0.066,0.025,0.048,-0.155,-0.356,0.105,-0.296,0.816273368,-0.004160307,0.541494132,0.00691842,,,,0,NA,NA,NA,NA,NA,0
238,ABCB8,ENSG00000197150,0.55,0.506726457,0.396,0.129333172,0.284,0.230358971,0.224,0.85695193,0.315,0.409100611,-0.304,0.162,-0.086,0.11,0.033,-0.052,-0.023,-0.069,-0.163,-0.135,-0.048,-0.122,0.472,0.026,0.589683742,-0.006795465,0.735826521,0.032920318,,,,0,NA,NA,NA,NA,NA,0
239,GLCCI1,ENSG00000106415,0.55,0.506082725,-0.22,0.873928788,0.088,0.424290911,0.269,0.163705893,0.206,0.640535027,-0.337,-0.026,-0.394,0.591,-0.35,-0.744,-0.21,-0.277,-0.263,0.181,-0.264,0.083,-0.656,-0.04,0.687187257,0.005046067,0.058342701,-0.035490684,,,,0,NA,NA,NA,NA,NA,0
240,07-Sep,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.185,-2.223,-2.004,-0.747,-1.058,-1.683,-1.722,-1.324,-1.584,-1.978,-1.106,-0.879,-1.135,-1.344,NA,NA,NA,NA,,,,0,NA,NA,NA,NA,NA,0
241,14-Sep,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.082,0.065,-0.035,0.016,0.41,-0.084,0.396,0.16,0.368,0.316,0.253,0.219,0.207,0.23,NA,NA,NA,NA,,,,0,NA,NA,NA,NA,NA,0
242,AASS,ENSG00000008311,0.49,0.487226277,0.174,0.386081463,0.051,0.240945227,0.263,0.455781011,0.235,0.161616526,0.246,0.074,-0.021,-0.199,0.187,0.073,0.015,0.098,0.204,0.012,0.116,-0.054,-0.327,0.166,0.92444038,-0.006845507,0.226206264,0.004602759,,,,0,NA,NA,NA,NA,NA,0
243,ABCA13,ENSG00000179869,0.5,0.477321814,-0.194,0.517760472,-0.036,0.33886885,-0.199,0.916653813,0.026,0.960612692,0.163,0.278,0.288,0.132,0.189,-0.105,0.087,0.013,0.262,-0.085,-0.074,0.068,0.313,0.053,0.685462449,-0.01190519,0.641347316,0.00660247,,,,0,NA,NA,NA,NA,NA,0
244,ABCB5,ENSG00000004846,0.49,0.419354839,0.322,0.030594713,0.348,0.105593162,0.128,0.899823582,0.018,0.385131552,0.186,0.616,0.272,-0.082,0.131,0.355,0.421,0.092,0.352,0.36,-0.153,0.397,0.367,0.171,0.744527714,-0.003707555,0.879515772,0.002512696,,,,0,NA,NA,NA,NA,NA,0
245,ACN9,ENSG00000196636,0.5,0.483613445,0.348,0.066578645,0.306,0.461666515,-0.033,0.628653462,0.161,0.374586039,0.103,0.55,0.147,0.226,-0.094,0.103,0.468,0.204,0.387,0.095,-0.329,0.252,0.54,0.246,0.491494453,0.016793132,0.051466039,0.01859977,,,,0,NA,NA,NA,NA,NA,0
246,ACTR3C,ENSG00000106526,0.52,0.583333333,-0.153,0.417043653,-0.203,0.938771433,0.017,0.930517834,-0.043,0.92246609,-0.495,0.117,-0.282,-0.331,-0.216,-0.307,0.069,0.03,-0.006,-0.18,-0.454,-0.048,-0.037,-0.229,0.938164023,-0.064382198,0.938600272,0.004126885,,,,0,NA,NA,NA,NA,NA,0
247,ADAP1,ENSG00000105963,0.53,0.508389262,0.124,0.225368776,-0.235,0.612304064,0.134,0.889571603,0.065,0.735296542,0.039,0.195,-0.085,-0.261,0.018,0.032,-0.102,-1.03,-0.238,-0.419,-1.166,-0.272,-0.099,-2.096,0.545201946,-0.020102708,0.831302192,-0.075069209,,,,0,NA,NA,NA,NA,NA,0
248,ADCYAP1R1,ENSG00000078549,0.52,0.375,0.095,0.339678498,-0.032,0.580967532,0.334,0.640811485,0.239,0.226310562,-0.022,0.29,-0.312,-0.198,-0.235,-0.058,0.01,-0.024,0.225,0.379,-0.059,-0.041,0.15,0.1,0.527044624,-0.002891911,0.136822747,-0.035045441,,,,0,NA,NA,NA,NA,NA,0
249,AGMO,ENSG00000187546,0.5,0.50259481,0.205,0.274104072,0.263,0.393672809,0.362,0.51394474,0.32,0.440540809,0.058,0.061,-0.058,-0.203,0.011,-0.002,0.283,0.146,0.004,0.168,-0.409,0.18,-0.043,0.148,0.316238881,0.009227228,0.563109483,0.007448189,,,,0,NA,NA,NA,NA,NA,0
250,AKR1B15,ENSG00000227471,0.52,0.5,0.223,0.161960774,0.16,0.884451834,-0.295,0.995578896,0.019,0.95295518,-0.213,0.314,-0.133,-0.332,-0.163,0.302,0.161,-0.29,0.096,-0.135,0.099,0.189,-0.119,-0.299,0.34343845,-0.011210106,0.91430667,0.039100241,,,,0,NA,NA,NA,NA,NA,0
251,ANKRD61,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,-0.137,0.263,-0.072,0.199,0.082,0.147,0.204,-0.212,0.161,-0.014,0.105,-0.05,-0.198,0.627843805,-0.013022022,0.758010507,-0.011807813,,,,0,NA,NA,NA,NA,NA,0
252,ARPC1A,ENSG00000241685,0.49,0.483379501,0.094,0.129713007,-0.194,0.929755399,0.129,0.772146999,-0.092,0.993411672,-0.155,-0.062,0.103,0.121,-0.251,0.096,-0.166,-0.129,0.044,-0.15,-0.254,-0.035,-0.21,-0.059,0.474486055,-0.005066097,0.77254945,0.004729489,,,,0,NA,NA,NA,NA,NA,0
253,ASB15,,NA,NA,0.041,0.541985068,0.343,0.189106297,-0.022,0.949135209,0.128,0.577214038,0.006,0.585,0.098,-0.038,0.136,0.039,0.462,0.124,0.517,0.101,0.089,0.357,0.187,0.228,0.814907508,-0.006317794,0.228561151,-0.003840404,,,,0,NA,NA,NA,NA,NA,0
254,ATP5J2-PTCD1,,NA,NA,-1.616,0.000428537,-2.367,0.00032627,-1.282,0.006266472,-1.831,0.002209539,-1.566,-2.283,-1.447,-1.183,-0.866,-0.968,-1.527,-1.381,-1.967,-2.01,-1.25,-0.975,-1.82,-1.544,0.186926934,-0.016080731,5.30E-05,-0.139207963,,,,0,NA,NA,NA,NA,NA,0
255,BAZ1B,ENSG00000009954,0.49,0.471837488,-0.008,0.973249736,-0.875,0.072010412,-0.557,0.065246263,-0.41,0.391825898,-0.891,-0.533,-1.587,-0.411,-0.748,-0.373,-1.499,-0.847,-0.679,-1.271,-1.226,-0.514,-0.519,-0.935,0.456741382,0.000885827,0.12857069,-0.012882667,,,,0,NA,NA,NA,NA,NA,0
256,C7orf10,ENSG00000175600,0.51,0.498507463,-0.133,0.638412388,-0.175,0.951010628,0.051,0.848813912,0.189,0.535734769,-0.391,0.185,0.093,0.114,-0.03,-0.159,-0.18,0.139,0.002,-0.093,-0.414,0.304,0.042,0.222,0.910015692,0.005621591,0.158978881,0.007945212,,,,0,NA,NA,NA,NA,NA,0
257,C7orf26,ENSG00000146576,0.18,0.31147541,-1.036,0.030759212,-1.059,0.017608217,-0.06,0.672018702,-1.105,0.038015349,-1.435,-1.139,-2.057,-1.549,-0.638,-1.215,-1.544,-0.4,-0.596,-0.15,0.224,-1.447,-2.684,-1.52,0.009490488,0.023184372,5.52E-07,-0.075038093,,,,0,NA,NA,NA,NA,NA,0
258,C7orf31,ENSG00000153790,0.5,0.547511312,0.076,0.381811123,-0.004,0.899295612,-0.079,0.872970314,0.149,0.7647244,-0.053,0.16,0.068,0.007,-0.068,-0.456,0.197,0.185,0.134,0.176,0.024,0.265,0.102,0.21,0.90374295,0.001006695,0.030647142,-0.037179117,,,,0,NA,NA,NA,NA,NA,0
259,C7orf33,ENSG00000170279,0.53,0.466666667,0.108,0.274104072,-0.075,0.760931001,0.348,0.261388073,0.337,0.478531775,-0.312,0.394,0.291,-0.103,-0.069,0.333,-0.003,-0.086,0.359,-0.043,-0.389,-0.059,0.515,0.237,0.004085326,0.021256609,0.322305483,-0.007452647,,,,0,NA,NA,NA,NA,NA,0
260,C7orf34,ENSG00000165131,0.5,NA,0.382,0.179677498,0.653,0.056045743,0.485,0.102520083,0.693,0.003594361,0.01,0.555,0.26,0.28,0.437,-0.256,0.154,-0.047,-0.025,0.291,-0.012,0.087,0.382,0.362,0.60289767,-0.023071896,0.912227756,-0.004183511,,,,0,NA,NA,NA,NA,NA,0
261,C7orf41,ENSG00000180354,0.52,0.530826141,0.111,0.559033498,0.219,0.444763302,0.164,0.712926671,0.187,0.637035707,-0.478,0.14,-0.167,0.073,-0.359,-0.179,0.206,-0.036,0.285,0.162,-0.22,-0.067,-0.05,0.179,0.776007468,0.000258398,0.566653502,0.009784555,,,,0,NA,NA,NA,NA,NA,0
262,C7orf55,ENSG00000164898,0.5,0.494271686,0.136,0.133565712,-0.019,0.91192576,0.357,0.344369862,0.436,0.14021068,0.167,0.113,0.377,0.06,-0.086,0.554,0.267,0.065,0.041,-0.204,-0.248,0.149,-0.568,0.205,0.102688855,-0.025725705,0.924015791,-0.00226961,,,,0,NA,NA,NA,NA,NA,0
263,C7orf61,ENSG00000185955,0.37,0.473684211,-0.24,0.768891883,-0.499,0.645549277,-0.024,0.491233713,-0.22,0.94931523,-0.262,-0.346,-0.833,-0.003,-0.223,-0.185,-0.415,-0.273,-0.205,-0.359,-0.36,-0.201,-0.239,-0.244,0.927934142,-0.004210683,0.734729246,0.015561588,,,,0,NA,NA,NA,NA,NA,0
264,C7orf63,ENSG00000105792,0.48,0.489361702,0.214,0.362789598,0.256,0.22286943,-0.047,0.975033389,0.156,0.532753044,0.294,-0.018,0.143,-0.065,0.427,0.216,0.08,-0.427,-0.083,-0.117,0.242,-0.077,-0.046,0.299,0.913037928,0.013079304,0.300457056,0.003741279,,,,0,NA,NA,NA,NA,NA,0
265,C7orf66,ENSG00000205174,NA,NA,0.35,0.133565712,0.336,0.016036511,-0.035,0.879986241,0.139,0.526901465,0.014,0.519,0.009,0.177,0.342,-0.165,0.254,0.081,0.296,0.088,0.392,0.097,0.07,-0.05,0.539333253,0.003021098,0.836530364,-0.007568213,,,,0,NA,NA,NA,NA,NA,0
266,C7orf69,ENSG00000136275,NA,NA,0.074,0.179869682,0.292,0.145123222,0.283,0.24334818,-0.008,0.875509062,0.24,0.035,0.099,-0.035,0.247,-0.191,0.433,0.033,0.294,0.161,-0.126,-0.039,-0.079,0.193,0.179404007,-0.015557851,0.817925416,-0.005816364,,,,0,NA,NA,NA,NA,NA,0
267,C7orf71,ENSG00000222004,0.31,0.375,-0.196,0.758956184,-0.932,0.658991461,0.099,0.469411957,-0.809,0.885229515,-0.243,-0.345,-0.079,0.081,-0.307,-0.171,-0.061,-0.082,-0.344,-0.199,-0.392,-0.107,-0.291,-0.269,0.610720425,0.003042397,0.533616169,-0.01298534,,,,0,NA,NA,NA,NA,NA,0
268,C7orf72,ENSG00000164500,0.5,0.577464789,0.114,0.356926099,-0.073,0.857104887,-0.316,0.518474321,-0.093,0.524565929,-0.011,-0.406,-0.099,0.074,0.27,0.286,-0.11,-0.202,0.246,0.121,-0.113,0.27,0.133,0.106,0.347747321,0.006885592,0.109761262,-0.026843474,,,,0,NA,NA,NA,NA,NA,0
269,C7orf73,ENSG00000243317,0.37,0.157635468,-0.483,0.223366679,0.064,0.751413682,-0.719,0.427971511,0.135,0.65576428,0.07,0.699,0.007,-0.33,-0.005,0.555,0.255,-0.179,0.661,-0.287,-0.041,0.029,0.44,0.309,0.403492208,-0.010516762,0.013979056,0.010482721,,,,0,NA,NA,NA,NA,NA,0
270,C7orf76,,NA,NA,0.152,0.421548054,0.344,0.081470011,0.228,0.56882106,0.281,0.566303937,0.041,0.321,0.058,0.205,0.098,-0.143,0.294,0.283,0.462,-0.049,-0.022,0.013,0.335,0.243,0.409625347,0.005203212,0.080853749,-0.016906108,,,,0,NA,NA,NA,NA,NA,0
271,CACNA2D1,ENSG00000153956,0.5,0.503529412,-0.359,0.888316606,-0.661,0.551347908,0.236,0.731674048,0.043,0.907240392,-0.059,-0.768,-0.512,-0.084,-0.055,-0.413,-0.245,-0.043,-0.467,-0.332,0.253,-0.288,-0.472,0.052,0.489650023,-0.005928965,0.101118265,-0.020857127,,,,0,NA,NA,NA,NA,NA,0
272,CADPS2,ENSG00000081803,0.5,0.489882854,0.176,0.474560523,0.309,0.420524243,0.198,0.832859956,0.196,0.697423798,-0.062,0.378,0.207,0.049,0.111,-0.047,0.505,0.316,0.193,0.055,0.302,0.456,0.13,0.234,0.507133842,-0.006273547,0.769208698,0.011399874,,,,0,NA,NA,NA,NA,NA,0
