Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
CLDND1,1,14,1,0,16,762,0.4870833,6,7,20.9974,0.705882353,0.142857143,0.588931517,1,0,1,1,0.823529412,0.334311308,1,0.034297975,0.083277249,1,1,0.122659414,3
CLDND2,0,5,0,0,5,504,0.004,2,2,9.9206,0.285714286,0.058823529,1,1,0,1,1,0.857142857,0.541268243,1,1.17E-24,6.38E-24,1,1,0.139314328,19
CLEC10A,8,14,1,1,24,951,0.2803333,4,16,25.2366,0.137931034,0.068965517,0.906928881,1,0.057471264,0.396761409,1,0.285714286,0.987095473,1,0.001224728,0.003273711,1,1,0.022588383,17
CLEC11A,6,15,2,0,23,972,0.3413333,6,12,23.6626,0.328358209,0.164179104,0.501001304,1,0,1,1,0.518518519,0.721286777,1,3.68E-12,1.40E-11,1,1,0.269047975,19
CLEC12A,10,18,1,0,29,798,0.2910769,6,20,36.3409,0.112149533,0.056074766,0.973253869,1,0,1,1,0.325581395,0.987935483,1,0.006253216,0.016040074,1,1,0.01561076,12
CLEC12B,1,8,2,0,11,699,0.6781667,4,5,15.7368,1.294117647,0.34375,0.260705589,1,0,1,1,0.769230769,0.541286766,1,0.002917861,0.007621692,1,1,0.090048072,12
CLEC14A,24,49,6,0,79,1473,0.3446207,18,50,53.6320,0.251012146,0.120622568,0.583751226,1,0,1,1,0.368932039,0.995539277,1,0.987262396,1,1,1,0.023105581,14
CLEC16A,22,39,3,0,64,3162,0.5278966,23,33,20.2404,0.140969163,0.093023256,0.825382793,1,0,1,1,0.695652174,0.48017179,1,1,1,1,1,0.009230475,16
CLEC17A,6,21,1,0,28,951,0.4571667,10,16,29.4427,0.179104478,0.068965517,0.910732853,1,0,1,1,0.628571429,0.672614845,1,1,1,1,1,0.017144554,19
CLEC18A,0,7,0,0,7,1341,0.5685,4,3,5.2200,0.285714286,0.045454545,1,1,0,1,1,1.111111111,0.308528991,1,2.41E-07,7.76E-07,1,1,0.064218002,16
CLEC18B,10,29,2,3,44,1368,0.6128824,15,18,32.1637,0.205607477,0.113402062,0.673930157,1,0.051546392,0.022533404,0.734095673,0.820512821,0.360514153,1,1.07E-10,3.86E-10,1,1,0.24259178,16
CLEC18C,3,6,0,1,10,1341,0.327,2,6,7.4571,0.054054054,0.027027027,1,1,0,0.187893165,1,0.4,0.903272057,1,2.41E-07,7.76E-07,1,1,0.036382939,16
CLEC1A,7,24,2,1,34,843,0.3736154,10,21,40.3321,0.285714286,0.098214286,0.822906459,1,0.044642857,0.480091291,1,0.488888889,0.825151997,1,0.004457681,0.011526166,1,1,0.034089765,12
CLEC1B,4,20,2,0,26,690,0.7201429,14,9,37.6812,0.468085106,0.211538462,0.47487173,1,0,1,1,1.428571429,0.042969379,0.505087244,0.002887888,0.007544457,1,1,0.178177347,12
CLEC2A,2,2,0,1,5,525,0.03775,0,4,9.5238,0.074074074,0.037037037,1,1,0.185185185,0.138137518,1,0.181818182,1,1,0.001873228,0.004946285,1,1,0.088848833,12
CLEC2D,1,12,2,0,15,585,0.223375,3,9,25.6410,1.294117647,0.211538462,0.449251666,1,0,1,1,0.380952381,0.926263542,1,0.000762749,0.002069337,1,1,0.133272982,12
CLEC2L,3,8,0,0,11,645,0.3408,3,8,17.0543,0.054054054,0.021276596,1,1,0,1,1,0.421052632,0.893312979,1,7.24E-09,2.46E-08,1,1,0.018640472,7
CLEC3A,9,17,4,0,30,594,0.5210769,9,14,50.5051,0.432989691,0.272727273,0.259833574,1,0,1,1,0.64516129,0.705915285,1,7.64E-17,3.22E-16,1,1,0.422306884,16
CLEC3B,7,9,1,0,17,609,0.8424,7,9,27.9146,0.155844156,0.115384615,0.743761783,1,0,1,1,0.761904762,0.504430081,1,1.93E-55,1.97E-54,1,1,0.310505975,3
CLEC4A,6,13,1,0,20,714,0.4713333,5,11,28.0112,0.179104478,0.096774194,0.83519106,1,0,1,1,0.48,0.852075171,1,0.105990391,0.243217998,1,1,0.012216407,12
CLEC4D,8,20,1,2,31,648,0.1203846,3,23,47.8395,0.137931034,0.049180328,0.975607139,1,0.040983607,0.186800083,1,0.163265306,0.999920797,1,0.187557531,0.416920994,1,1,0.022384525,12
CLEC4E,7,16,4,0,27,660,0.5211111,8,14,40.9091,0.545454545,0.272727273,0.213738035,1,0,1,1,0.580645161,0.647172602,1,0.140010651,0.316081575,1,1,0.228385598,12
CLEC4F,13,47,3,2,65,1770,0.3217568,17,37,36.7232,0.233576642,0.083333333,0.955467462,1,0.052083333,0.338822965,1,0.467532468,0.961851343,1,0.999960581,1,1,1,0.192252623,2
CLEC4G,5,8,2,0,15,882,0.644,4,9,17.0068,0.385964912,0.211538462,0.401944189,1,0,1,1,0.476190476,0.848443538,1,1.36E-49,1.26E-48,1,1,0.326190015,19
CLEC4M,13,32,4,0,49,1200,0.4459444,18,23,40.8333,0.306569343,0.172131148,0.52792744,1,0,1,1,0.775510204,0.407701104,1,4.02E-47,3.55E-46,1,1,0.193188697,19
CLEC5A,9,18,2,0,29,567,0.338,4,20,51.1464,0.226804124,0.102803738,0.79484618,1,0,1,1,0.23255814,0.997338954,1,6.06E-09,2.06E-08,1,1,0.14935022,7
CLEC6A,3,16,3,1,23,630,0.4774,8,9,36.5079,0.864864865,0.307692308,0.214646442,1,0.096153846,0.257193063,1,0.857142857,0.39056065,1,0.235881129,0.517017556,1,1,0.138854728,12
CLEC7A,4,12,1,1,18,606,0.487625,4,8,29.7030,0.255319149,0.127659574,0.718813275,1,0,0.234776399,1,0.526315789,0.673001229,1,0.000445271,0.001228179,1,1,0.027918755,12
CLEC9A,7,20,3,1,31,726,0.4673125,10,14,42.6997,0.415584416,0.207792208,0.435305277,1,0.064935065,0.378556683,1,0.709677419,0.613426106,1,0.001252769,0.003346271,1,1,0.200140187,12
CLHC1,2,25,2,0,29,1761,0.5152941,11,8,16.4679,0.814814815,0.234042553,0.399423429,1,0,1,1,1.263157895,0.103279792,0.745415987,0.999951527,1,1,1,0.247128585,2
CLIC1,5,11,0,0,16,726,0.4881111,5,9,22.0386,0.035087719,0.019230769,1,1,0,1,1,0.571428571,0.744857136,1,0.999959727,1,1,1,0.045405856,6
CLIC2,8,10,1,3,22,744,0.8336667,7,11,29.5699,0.137931034,0.096774194,0.807076645,1,0.161290323,0.007180177,0.45328876,0.64,0.656871406,1,0.997155705,1,1,1,0.11588719,X
CLIC3,6,2,0,0,8,711,0.4875,1,7,11.2518,0.029850746,0.023809524,1,1,0,1,1,0.235294118,0.985231128,1,0.820024478,1,1,1,0.067752382,9
CLIC4,5,10,2,0,17,762,0.542625,6,7,22.3097,0.385964912,0.261904762,0.334660258,1,0,1,1,0.823529412,0.453939473,1,1.62E-104,5.23E-103,1,1,0.252761272,1
CLIC5,13,15,3,1,32,756,0.63775,11,17,42.3280,0.233576642,0.173913043,0.554396173,1,0.054347826,0.448237854,1,0.648648649,0.744063302,1,0.999957846,1,1,1,0.073913091,6
CLIC6,8,20,0,2,30,2061,0.660125,13,13,14.5560,0.022988506,0.013888889,1,1,0.138888889,0.078490864,1,0.965517241,0.216333557,0.932145335,1,1,1,1,0.032841501,21
CLINT1,7,27,2,0,36,1878,0.36605,9,22,19.1693,0.285714286,0.094017094,0.875309985,1,0,1,1,0.425531915,0.940005694,1,0.005728098,0.01471735,1,1,0.078316114,5
CLIP1,34,52,16,2,104,4284,0.5724722,26,60,24.2764,0.46685879,0.263843648,0.170183126,1,0.016286645,0.491073213,1,0.43902439,0.975660959,1,8.25E-06,2.52E-05,1,1,0.559088469,12
CLIP2,21,59,5,0,85,3036,0.6205682,38,33,27.9974,0.239631336,0.151162791,0.586237798,1,0,1,1,1.130434783,0.016071638,0.336725279,0.999999998,1,1,1,0.106010987,7
CLIP3,6,38,3,0,47,1644,0.6691739,23,15,28.5888,0.47761194,0.195121951,0.344923431,1,0,1,1,1.454545455,0.011671863,0.271476724,1,1,1,1,0.223092559,19
CLIP4,15,45,2,0,62,2118,0.4971667,25,31,29.2729,0.140127389,0.067901235,0.931588331,1,0,1,1,0.8,0.333140138,1,0.99992942,1,1,1,0.021254993,2
CLK1,9,30,7,5,51,1455,0.3985,13,25,35.0515,0.742268041,0.272727273,0.121245709,1,0.151515152,0.001939505,0.240747628,0.528301887,0.871720707,1,0.018399413,0.045738973,1,1,0.431878355,2
CLK2,13,39,3,2,57,1498.5,0.5041923,19,27,38.0380,0.233576642,0.112676056,0.727406473,1,0.070422535,0.208262557,1,0.701754386,0.466903504,1,0.99997044,1,1,1,0.024751918,1
CLK3,11,23,2,0,36,1584,0.4485333,13,20,22.7273,0.188034188,0.102803738,0.787368694,1,0,1,1,0.651162791,0.68723592,1,0.999999988,1,1,1,0.056540419,15
CLK4,7,22,0,0,29,1446,0.409,8,14,20.0553,0.025974026,0.012987013,1,1,0,1,1,0.580645161,0.790597859,1,0.068108084,0.159843059,1,1,0.008941212,5
CLLU1,0,4,0,0,4,366,NA,0,0,10.9290,0.285714286,0.142857143,1,1,0,NA,NA,0.666666667,1,1,0.078759481,0.183389223,1,1,0.086225019,12
CLLU1OS,2,9,0,1,12,306,0.373375,3,7,39.2157,0.074074074,0.023809524,1,1,0,0.211683238,1,0.470588235,0.847652101,1,0.078759481,0.183389223,1,1,0.035408742,12
CLMN,11,59,4,1,75,3009,0.4290638,26,34,24.9252,0.358974359,0.118644068,0.736221531,1,0.028248588,0.646763292,1,0.76056338,0.401209503,1,9.70E-06,2.95E-05,1,1,0.114383227,14
CLMP,12,18,1,0,31,1122,0.409,10,19,27.6292,0.094488189,0.058823529,0.941851424,1,0,1,1,0.536585366,0.787389468,1,2.35E-75,3.62E-74,1,1,0.02841535,11
CLN3,11,25,4,0,40,1317,0.658375,16,20,30.3721,0.358974359,0.196261682,0.196843035,1,0,1,1,0.790697674,0.395455608,1,1,1,1,1,0.07622162,16
CLN5,7,15,1,0,23,1224,0.751,10,10,18.7908,0.155844156,0.105263158,0.768078659,1,0,1,1,0.956521739,0.273448714,1,3.71E-12,1.41E-11,1,1,0.136885844,13
CLN6,6,7,2,0,15,936,0.4553333,4,8,16.0256,0.328358209,0.234042553,0.252148984,1,0,1,1,0.526315789,0.794461289,1,1,1,1,1,0.262540391,15
CLN8,7,23,1,0,31,861,0.4615882,8,18,36.0046,0.155844156,0.06185567,0.891967087,1,0,1,1,0.461538462,0.897174795,1,5.59E-102,1.73E-100,1,1,0.018238063,8
CLNK,5,18,1,1,25,1287,0.4006154,6,14,19.4250,0.210526316,0.077922078,0.901771634,1,0.064935065,0.359802569,1,0.451612903,0.891348067,1,0.99881647,1,1,1,0.05599073,4
CLNS1A,3,9,1,0,13,714,0.5598,4,7,18.2073,0.324324324,0.142857143,0.720692848,1,0,1,1,0.588235294,0.794461289,1,0.999999557,1,1,1,0.056094852,11
CLP1,7,15,2,0,24,1278,0.7015,11,8,18.7793,0.285714286,0.234042553,0.334166657,1,0,1,1,1.263157895,0.067425293,0.621617423,0.999991466,1,1,1,0.211415888,11
CLPB,13,30,4,1,48,2124,0.6082778,17,24,22.5989,0.306569343,0.165354331,0.539186198,1,0.039370079,0.524456907,1,0.705882353,0.533094618,1,0.99998912,1,1,1,0.249937355,11
CLPP,4,6,1,1,12,834,0.7318,5,5,14.3885,0.255319149,0.1875,0.52829158,1,0,0.163385147,1,0.923076923,0.391078583,1,6.72E-79,1.17E-77,1,1,0.334932114,19
CLPS,4,11,0,0,15,339,0.5803333,7,5,44.2478,0.042553191,0.03125,1,1,0,1,1,1.230769231,0.17564783,0.886481429,0.999999584,1,1,1,0.068294245,6
CLPSL1,2,7,1,1,11,459,0.559,5,4,23.9651,0.444444444,0.222222222,0.497586493,1,0,0.138137518,1,1.090909091,0.182685492,0.886481429,0.999999584,1,1,1,0.108985576,6
CLPSL2,2,0,0,0,2,300,NA,0,2,6.6667,0.074074074,0.058823529,1,1,0,1,1,0.285714286,1,1,0.999999584,1,1,1,0.099263573,6
CLPTM1,14,31,5,1,51,2010,0.51565,18,23,25.3731,0.353741497,0.213114754,0.199243794,1,0,0.510105817,1,0.775510204,0.407701104,1,2.74E-11,1.02E-10,1,1,0.144883952,19
CLPTM1L,11,30,1,1,43,1617,0.6529474,15,22,26.5925,0.102564103,0.051282051,0.932057594,1,0.042735043,0.495321635,1,0.680851064,0.504344852,1,0.404024009,0.85245278,1,1,0.022330356,5
CLPX,10,26,2,0,38,1902,0.7560952,18,17,19.9790,0.205607477,0.119565217,0.518262152,1,0,1,1,1.027027027,0.138596941,0.825011387,1,1,1,1,0.178043195,15
CLRN2,1,22,0,0,23,750,0.3948,7,13,30.6667,0.117647059,0.013888889,1,1,0,1,1,0.551724138,0.68310213,1,0.999991648,1,1,1,0.075400393,4
CLRN3,5,9,0,1,15,681,0.477,5,9,22.0264,0.035087719,0.019230769,1,1,0.096153846,0.278953046,1,0.571428571,0.804253372,1,1.14E-14,4.65E-14,1,1,0.126812537,10
CLSTN1,21,38,2,1,62,2946,0.6552308,26,31,21.0455,0.101382488,0.067901235,0.931696712,1,0.030864198,0.625121409,1,0.830769231,0.179662517,0.886481429,1.40E-126,9.09E-125,1,1,0.028779842,1
CLSTN3,20,47,1,0,68,2871,0.4425758,20,38,23.6851,0.057971014,0.030456853,0.991062939,1,0,1,1,0.53164557,0.872674615,1,0.951926482,1,1,1,0.004587229,12
CLTA,2,8,1,0,11,747,0.7294286,6,3,14.7256,0.444444444,0.272727273,0.44124829,1,0,1,1,1.555555556,0.110406341,0.745415987,0.770283104,1,1,1,0.366266151,9
CLTB,3,4,0,0,7,690,0.861,1,4,10.1449,0.054054054,0.037037037,1,1,0,1,1,0.363636364,0.928246668,1,0.145163758,0.326885333,1,1,0.075639785,5
CLTC,16,62,3,0,81,5028,0.7779048,46,34,16.1098,0.191616766,0.09039548,0.880588205,1,0,1,1,1.323943662,0.002068293,0.110451615,0.999999971,1,1,1,0.049952565,17
CLTCL1,15,76,2,0,93,4923,0.6160612,45,41,18.8909,0.140127389,0.051886792,0.980153639,1,0,1,1,1.082352941,0.016368611,0.337244196,0.31141491,0.669766161,1,1,0.029962183,22
CLU,11,24,3,0,38,1506,0.6126842,15,17,25.2324,0.273504274,0.173913043,0.54457338,1,0,1,1,0.864864865,0.305638975,1,4.41E-48,3.98E-47,1,1,0.204244929,8
CLUAP1,4,14,0,0,18,1242,0.8026429,10,5,14.4928,0.042553191,0.03125,1,1,0,1,1,1.692307692,0.040100294,0.505087244,4.21E-06,1.30E-05,1,1,0.066288292,16
CLUH,23,44,7,0,74,3930,0.6487297,27,33,18.8295,0.303797468,0.209302326,0.233079403,1,0,1,1,0.811594203,0.344217046,1,0.573827939,1,1,1,0.144806489,17
CLUL1,9,24,3,1,37,1401,0.3445789,9,22,26.4097,0.329896907,0.136752137,0.707277085,1,0,0.495321635,1,0.425531915,0.940005694,1,0.984653929,1,1,1,0.059906039,18
CLVS1,21,43,2,1,67,1065,0.3416522,19,41,62.9108,0.101382488,0.051886792,0.984685913,1,0.023584906,0.721537582,1,0.470588235,0.956187679,1,0.999999968,1,1,1,0.014177037,8
CLVS2,16,51,4,2,73,984,0.5500312,32,26,74.1870,0.251497006,0.153284672,0.57598342,1,0.072992701,0.208262557,1,1.2,0.02693724,0.420265181,2.66E-07,8.54E-07,1,1,0.432992798,6
CLYBL,5,34,2,1,42,1023,0.6285185,20,17,41.0557,0.385964912,0.119565217,0.71223562,1,0.054347826,0.41443284,1,1.135135135,0.074148746,0.64907221,0.998628785,1,1,1,0.050427269,13
CMA1,6,20,1,0,27,744,0.4873333,10,12,36.2903,0.179104478,0.089552239,0.82429495,1,0,1,1,0.814814815,0.411338197,1,0.225490125,0.495346354,1,1,0.0485092,14
CMBL,5,8,1,0,14,738,0.10775,0,9,18.9702,0.210526316,0.115384615,0.736250861,1,0,1,1,0.095238095,1,1,0.999832701,1,1,1,0.041824986,5
CMC1,5,1,1,0,7,321,0.004,0,6,21.8069,0.210526316,0.162162162,0.678221479,1,0,1,1,0.133333333,1,1,6.62E-29,4.05E-28,1,1,0.201370367,3
CMC2,1,0,0,0,1,240,NA,0,1,4.1667,0.117647059,0.083333333,1,1,0,1,1,0.4,1,1,4.39E-23,2.26E-22,1,1,0.300263733,16
CMC4,1,3,2,0,6,207,0.2076667,1,3,28.9855,1.294117647,0.5,0.274930285,1,0,1,1,0.444444444,0.928246668,1,1,1,1,1,0.36692766,X
CMIP,8,23,2,0,33,2322,0.8942,16,13,14.2119,0.252873563,0.152777778,0.679697177,1,0.138888889,0.10566516,1,1.172413793,0.025516379,0.420265181,1.58E-23,8.30E-23,1,1,0.329112754,16
CMKLR1,11,46,2,0,59,1122,0.4885937,25,29,52.5847,0.188034188,0.072368421,0.875012331,1,0,1,1,0.852459016,0.279214653,1,0.086734664,0.201031987,1,1,0.062356853,12
CMPK2,7,13,2,0,22,1350,0.4878,8,11,16.2963,0.285714286,0.177419355,0.398307094,1,0,1,1,0.72,0.618054979,1,0.768132291,1,1,1,0.236723446,2
CMSS1,6,15,2,1,24,840,0.3594444,8,10,28.5714,0.328358209,0.192982456,0.518616203,1,0,0.278953046,1,0.782608696,0.469844406,1,0.999994421,1,1,1,0.062537262,3
CMTM1,4,8,2,1,15,351,0.52025,4,5,42.7350,0.468085106,0.34375,0.171627585,1,0.15625,0.163385147,1,0.769230769,0.541286766,1,0.010408741,0.026355548,1,1,0.64856788,16
CMTM2,5,19,1,0,25,747,0.4165,7,11,33.4672,0.210526316,0.096774194,0.814668019,1,0,1,1,0.64,0.656871406,1,0.009673549,0.024537238,1,1,0.135704271,16
CMTM3,3,1,0,1,5,549,0.989,1,3,9.1075,0.054054054,0.045454545,1,1,0.227272727,0.112127959,1,0.444444444,0.878472753,1,0.069913692,0.163854186,1,1,0.278470087,16
CMTM4,5,8,3,0,16,705,0.4585,3,9,22.6950,0.561403509,0.307692308,0.137295846,1,0,1,1,0.380952381,0.926263542,1,0.009746461,0.02471547,1,1,0.402488451,16
CMTM5,7,14,2,0,23,471,0.3361667,4,14,48.8323,0.285714286,0.142857143,0.463026017,1,0,1,1,0.322580645,0.972665421,1,0.237499828,0.520321285,1,1,0.083919254,14
CMTM6,1,1,0,1,3,552,0.007,0,2,5.4348,0.117647059,0.058823529,1,1,0.294117647,0.085333474,1,0.285714286,1,1,8.96E-32,5.96E-31,1,1,0.362518922,3
CMTM7,6,5,0,0,11,528,0.136,0,9,20.8333,0.029850746,0.019230769,1,1,0,1,1,0.095238095,1,1,1.22E-30,7.85E-30,1,1,0.11991849,3
CMTM8,2,6,0,0,8,522,0.457,3,5,15.3257,0.074074074,0.03125,1,1,0,1,1,0.615384615,0.704285014,1,3.13E-26,1.80E-25,1,1,0.195601829,3
CMYA5,53,179,20,0,252,11259,0.3720667,72,135,22.3821,0.376163873,0.148093842,0.543552702,1,0,1,1,0.534798535,0.913340931,1,9.55E-81,1.78E-79,1,1,0.147926057,5
CNBD1,17,64,7,1,89,1311,0.5071429,31,35,67.8871,0.406779661,0.197802198,0.354169463,1,0.027472527,0.66715578,1,0.876712329,0.222812494,0.943222638,1,1,1,1,0.063812394,8
CNBD2,9,23,1,0,33,1719,0.4751333,11,18,19.1972,0.12371134,0.06185567,0.935546225,1,0.051546392,1,1,0.615384615,0.695142836,1,1,1,1,1,0.027163893,20
CNBP,2,3,1,1,7,534,0.6756667,1,3,13.1086,0.444444444,0.272727273,0.41907447,1,0.227272727,0.112127959,1,0.444444444,0.878472753,1,0.992620834,1,1,1,0.387465438,3
CNDP1,10,33,2,1,46,1524,0.5289,15,20,30.1837,0.205607477,0.102803738,0.766201635,1,0.046728972,0.464401321,1,0.744186047,0.395455608,1,2.84E-60,3.22E-59,1,1,0.235052233,18
CNDP2,14,28,4,0,46,1428,0.46295,10,26,32.2129,0.285714286,0.153284672,0.545030105,1,0,1,1,0.4,0.964946314,1,1.46E-57,1.56E-56,1,1,0.328441662,18
CNEP1R1,2,0,0,0,2,429,NA,0,2,4.6620,0.074074074,0.058823529,1,1,0,1,1,0.285714286,1,1,0.999988811,1,1,1,0.232129638,16
CNFN,2,5,0,0,7,339,0.835,4,3,20.6490,0.074074074,0.045454545,1,1,0,1,1,1.111111111,0.308528991,1,7.45E-08,2.45E-07,1,1,0.126822724,19
CNGA1,12,41,5,0,58,2073,0.43088,14,32,27.9788,0.409448819,0.155688623,0.574335428,1,0,1,1,0.447761194,0.947498007,1,0.999999765,1,1,1,0.305544498,4
CNGA3,37,60,5,1,103,2085,0.4684615,24,67,49.4005,0.137931034,0.076023392,0.955908219,1,0.014619883,0.821729075,1,0.364963504,0.997297117,1,0.999971989,1,1,1,0.041037116,2
CNGA4,17,51,6,0,74,1728,0.4681515,22,43,42.8241,0.350282486,0.13963964,0.548958487,1,0,1,1,0.516853933,0.902926812,1,5.36E-10,1.89E-09,1,1,0.195989087,11
CNGB1,26,81,3,3,113,3756,0.4355439,37,56,30.0852,0.119850187,0.055749129,0.993962333,1,0.052264808,0.257079289,1,0.660869565,0.565002429,1,0.962669099,1,1,1,0.068837385,16
CNGB3,22,105,10,4,141,2430,0.4589189,47,62,58.0247,0.449339207,0.160883281,0.60101182,1,0.047318612,0.144054634,1,0.755905512,0.449731521,1,0.999981768,1,1,1,0.03027394,8
CNIH2,6,5,0,0,11,483,0.9206667,3,8,22.7743,0.029850746,0.021276596,1,1,0,1,1,0.421052632,0.893312979,1,1,1,1,1,0.04617566,11
CNIH3,3,12,2,0,17,483,0.4896364,5,8,35.1967,0.594594595,0.234042553,0.28765186,1,0,1,1,0.631578947,0.673001229,1,0.44564323,0.93383104,1,1,0.011635473,1
CNIH4,0,8,0,0,8,420,0.67075,4,3,19.0476,0.285714286,0.045454545,1,1,0,1,1,1.111111111,0.308528991,1,0.286216902,0.619065019,1,1,0.054295641,1
CNN1,8,19,0,0,27,894,0.6549091,11,15,30.2013,0.022988506,0.012195122,1,1,0,1,1,0.727272727,0.518724124,1,0.691051779,1,1,1,0.028615709,19
CNN3,4,11,3,0,18,990,0.269,3,11,18.1818,0.680851064,0.258064516,0.309139454,1,0,1,1,0.32,0.965899937,1,1.29E-15,5.33E-15,1,1,0.310114627,1
CNNM1,13,35,2,1,51,1761,0.3848621,14,30,28.9608,0.160583942,0.070063694,0.894045842,1,0.031847134,0.613808204,1,0.476190476,0.934515965,1,2.11E-21,1.02E-20,1,1,0.124203193,10
CNNM2,19,41,5,0,65,1659,0.5676364,20,30,39.1802,0.263959391,0.165605096,0.348504893,1,0,1,1,0.666666667,0.60752433,1,2.62E-22,1.31E-21,1,1,0.293883119,10
CNNM3,6,20,0,0,26,2124,0.5426111,11,12,12.2411,0.029850746,0.014925373,1,1,0,1,1,0.888888889,0.320318081,1,0.999970855,1,1,1,0.040577165,2
CNNM4,8,39,3,1,51,2328,0.6063846,25,20,21.9072,0.367816092,0.14953271,0.509679192,1,0,0.464401321,1,1.209302326,0.033883229,0.475808461,0.999970828,1,1,1,0.122883132,2
CNOT10,6,22,4,1,33,2235,0.4572222,11,13,14.7651,0.626865672,0.291666667,0.200843007,1,0.069444444,0.340482488,1,0.827586207,0.386273428,1,5.99E-30,3.78E-29,1,1,0.447681015,3
CNOT11,4,18,2,1,25,1533,0.7271667,13,6,16.3079,0.468085106,0.297297297,0.238071944,1,0.135135135,0.187893165,1,1.866666667,0.0144707,0.31862972,0.999820507,1,1,1,0.421398129,2
CNOT2,6,23,1,0,30,1623,0.2596471,5,16,18.4843,0.179104478,0.068965517,0.927107151,1,0,1,1,0.342857143,0.969537701,1,1,1,1,1,0.015100441,12
CNOT6L,8,22,2,0,32,1755,0.545,12,15,18.2336,0.252873563,0.134146341,0.659925079,1,0,1,1,0.787878788,0.427045545,1,0.562206235,1,1,1,0.193199639,4
CNOT7,1,11,2,0,14,858,0.8574286,7,5,16.3170,1.294117647,0.34375,0.260066318,1,0,1,1,1.230769231,0.17564783,0.886481429,2.80E-50,2.62E-49,1,1,0.617242616,8
CNP,4,14,1,0,19,1206,0.2726667,3,12,15.7546,0.255319149,0.089552239,0.832618726,1,0,1,1,0.296296296,0.97712133,1,0.039195993,0.094323878,1,1,0.030497641,17
CNPPD1,6,13,0,0,19,1233,0.5391429,7,9,15.4096,0.029850746,0.019230769,1,1,0,1,1,0.761904762,0.504430081,1,1.08E-49,1.00E-48,1,1,0.120095701,2
CNPY1,1,7,0,0,8,279,0.6983333,6,2,28.6738,0.117647059,0.058823529,1,1,0,1,1,2,0.055998422,0.600158415,1.11E-16,4.66E-16,1,1,0.028039499,7
CNPY2,1,10,0,0,11,549,0.560125,6,4,20.0364,0.117647059,0.037037037,1,1,0,1,1,1.272727273,0.182685492,0.886481429,1,1,1,1,0.030169014,12
CNPY3,1,17,1,0,19,837,0.459,6,4,22.7001,0.705882353,0.222222222,0.512968336,1,0,1,1,1.272727273,0.182685492,0.886481429,0.999999986,1,1,1,0.024115578,6
CNR1,23,42,1,0,66,1419,0.579375,22,36,46.5116,0.050632911,0.032085561,0.986697213,1,0,1,1,0.613333333,0.7245319,1,4.95E-15,2.03E-14,1,1,0.025780536,6
CNR2,13,19,2,0,34,1083,0.6089091,10,21,31.3943,0.160583942,0.098214286,0.741376874,1,0,1,1,0.488888889,0.924661204,1,2.99E-111,1.17E-109,1,1,0.049671471,1
CNRIP1,2,11,0,0,13,495,0.7408889,8,3,26.2626,0.074074074,0.045454545,1,1,0,1,1,2,0.034026552,0.475808461,0.999508251,1,1,1,0.067970862,2
CNST,12,44,3,3,62,2178,0.5113846,14,35,28.4665,0.251968504,0.087912088,0.915451244,1,0.027472527,0.099531187,1,0.410958904,0.973964355,1,1.01E-11,3.80E-11,1,1,0.098050435,1
CNTD1,9,7,3,0,19,993,0.174,2,13,19.1339,0.329896907,0.222222222,0.39747921,1,0,1,1,0.206896552,0.997360994,1,0.004115554,0.010663675,1,1,0.098701395,17
CNTD2,2,12,0,0,14,468,0.668,6,5,29.9145,0.074074074,0.03125,1,1,0,1,1,1.076923077,0.268037051,1,0.999986087,1,1,1,0.084101872,19
CNTF,5,7,1,0,13,603,0.4072,4,8,21.5589,0.210526316,0.127659574,0.708507056,1,0,1,1,0.526315789,0.794461289,1,0.999960801,1,1,1,0.167343142,11
CNTFR,5,23,0,0,28,1119,0.8046429,17,8,25.0223,0.035087719,0.021276596,1,1,0,1,1,1.894736842,0.005769589,0.198192317,0.597731674,1,1,1,0.049736928,9
CNTN1,36,115,7,3,161,3057,0.6528193,69,75,52.6660,0.196185286,0.094240838,0.875489146,1,0.013089005,0.337201799,1,0.91503268,0.061118596,0.621617423,0.999941704,1,1,1,0.021870478,12
CNTN2,34,54,5,1,94,3123,0.5556,31,55,30.0993,0.149855908,0.092198582,0.886002835,1,0.017730496,0.780483408,1,0.566371681,0.847139258,1,0.99932903,1,1,1,0.018139675,1
CNTN3,44,101,5,3,153,3087,0.5924085,62,83,49.5627,0.116331096,0.061611374,0.977392291,1,0.035545024,0.55423984,1,0.74556213,0.327088264,1,1.22E-19,5.59E-19,1,1,0.059947373,3
CNTN4,42,116,16,1,175,2097,0.5460571,61,81,83.4526,0.379391101,0.196601942,0.273576885,1,0.012135922,0.836941553,1,0.751515152,0.458532002,1,6.76E-45,5.75E-44,1,1,0.311139932,3
